TrialIndex,Choice,CuePosition,Reward
1,1,0,1
2,1,0,1
3,1,0,1
4,1,0,1
5,1,0,1
6,1,0,1
7,1,0,1
8,1,0,1
9,1,0,1
10,1,0,1
11,2,1,1
12,1,0,1
13,1,0,1
14,1,0,1
15,1,0,0
16,2,1,1
17,1,0,1
18,1,0,1
19,2,1,1
20,2,1,1
21,2,1,0
22,2,1,1
23,1,0,1
24,1,0,0
25,2,1,1
26,1,0,0
27,2,1,1
28,2,1,1
29,1,0,0
30,1,0,1
31,2,1,1
32,1,0,0
33,2,1,1
34,2,1,1
35,2,1,1
36,2,1,1
37,2,1,1
38,2,1,1
39,2,1,1
40,1,0,1
41,2,1,1
42,1,0,1
43,1,0,1
44,1,0,0
45,2,1,1
46,1,0,0
47,2,1,1
48,1,0,0
49,1,0,0
50,2,1,1
51,1,0,1
52,2,1,1
53,1,0,0
54,2,1,0
55,1,0,0
56,2,1,1
57,1,0,1
58,2,1,1
59,1,0,0
60,2,1,0
61,2,1,1
62,2,1,1
63,1,0,0
64,2,1,1
65,1,0,1
66,1,0,1
67,1,0,1
68,2,1,1
69,1,0,0
70,2,1,1
71,1,0,1
72,2,1,1
73,2,1,1
74,2,1,0
75,2,1,1
76,2,1,1
77,2,1,1
78,1,0,1
79,2,1,1
80,2,1,1
81,2,1,1
82,1,0,1
83,2,1,0
84,2,1,1
85,2,1,1
86,1,0,1
87,1,0,0
88,1,0,0
89,1,0,1
90,2,1,1
91,2,1,1
92,1,0,1
93,1,0,0
94,2,1,1
95,1,0,1
96,2,1,1
97,2,1,1
98,1,0,0
99,2,1,1
100,2,1,1
101,2,1,1
102,1,0,0
103,2,1,1
104,2,1,1
105,2,1,1
106,1,0,0
107,1,0,0
108,2,1,1
109,1,0,1
110,2,1,1
111,1,0,0
112,2,1,1
113,2,1,1
114,2,1,0
115,2,1,1
116,2,1,1
117,1,0,1
118,2,1,0
119,2,1,1
120,2,1,1
121,1,0,1
122,2,1,1
123,1,0,0
124,2,1,1
125,2,1,1
126,1,0,0
127,2,1,1
128,2,1,0
129,2,1,1
130,1,0,1
131,2,1,1
132,1,0,0
133,2,1,1
134,1,0,1
135,2,1,1
136,1,0,0
137,2,1,1
138,2,1,1
139,2,1,1
140,1,0,0
141,2,1,1
142,1,0,0
143,2,1,1
144,1,0,0
145,2,1,1
146,1,0,1
147,2,1,1
148,1,0,1
149,2,1,1
150,2,1,1
151,1,0,1
152,2,1,1
153,2,1,1
154,1,0,1
155,2,1,1
156,2,1,1
157,2,1,1
158,2,1,1
159,2,1,1
160,1,0,1
161,2,1,1
162,2,1,1
163,2,1,1
164,2,1,1
165,2,1,1
166,2,1,1
167,1,0,1
168,1,0,0
169,2,1,0
170,2,1,0
171,1,0,0
172,2,1,0
173,2,1,0
174,1,0,0
175,1,0,0
176,1,0,1
177,1,0,0
178,1,0,1
179,1,0,1
180,1,0,1
181,1,0,0
182,2,1,0
183,1,0,1
184,2,1,0
185,2,1,0
186,2,1,0
187,2,1,1
188,1,0,0
189,2,1,0
190,2,1,0
191,2,1,0
192,1,0,0
193,2,1,0
194,2,1,0
195,2,1,0
196,2,1,0
197,2,1,0
198,2,1,0
199,2,1,0
200,2,1,0
201,2,1,0
202,2,1,0
203,1,0,0
204,2,1,0
205,2,1,0
206,2,1,0
207,1,0,0
208,2,1,0
209,2,1,1
210,2,1,0
211,2,1,0
212,1,0,0
213,1,0,1
214,2,1,0
215,2,1,0
216,2,1,0
217,1,0,1
218,2,1,0
219,1,0,1
220,1,0,1
221,1,0,1
222,1,0,1
223,1,0,0
224,1,0,1
225,1,0,0
226,2,1,0
227,1,0,0
228,1,0,1
229,1,0,1
230,1,0,0
231,1,0,0
232,2,1,0
233,1,0,1
234,1,0,1
235,1,0,0
236,1,0,0
237,1,0,0
238,2,1,1
239,1,0,0
240,1,0,0
241,2,1,1
242,1,0,1
243,1,0,0
244,2,1,0
245,1,0,0
246,1,0,0
247,2,1,0
248,1,0,0
249,2,1,1
250,1,0,1
251,2,1,1
252,1,0,0
253,1,0,0
254,1,0,0
255,2,1,1
256,1,0,0
257,2,1,0
258,1,0,0
259,2,1,0
260,1,0,0
261,2,1,0
262,1,0,0
263,1,0,0
264,1,0,0
265,2,1,1
266,1,0,0
267,1,0,0
268,2,1,1
269,1,0,0
270,1,0,0
271,1,0,0
272,1,0,0
273,1,0,0
274,1,0,0
275,1,0,0
276,1,0,0
277,1,0,0
278,1,0,0
279,2,1,0
280,2,1,0
281,1,0,0
282,1,0,1
283,2,1,0
284,2,1,0
285,1,0,0
286,2,1,1
287,2,1,1
288,2,1,0
289,2,1,1
290,2,1,1
291,2,1,0
292,2,1,1
293,2,1,1
294,2,1,0
295,2,1,1
296,2,1,0
297,2,1,0
298,1,0,1
299,2,1,0
300,2,1,0
301,2,1,1
302,1,0,1
303,2,1,0
304,2,1,0
305,2,1,1
306,1,0,1
307,2,1,0
308,2,1,1
309,2,1,0
310,2,1,1
311,1,0,1
312,2,1,1
313,2,1,0
314,2,1,0
315,2,1,0
316,1,0,0
317,1,0,1
318,1,0,1
319,2,1,1
320,2,1,0
321,2,1,0
322,1,0,1
323,2,1,0
324,1,0,1
325,1,0,1
326,1,0,1
327,1,0,1
328,2,1,0
329,1,0,1
330,1,0,1
331,2,1,0
332,2,1,0
333,2,1,0
334,1,0,1
335,1,0,0
336,1,0,1
337,1,0,0
338,1,0,0
339,2,1,0
340,2,1,1
341,1,0,1
342,1,0,1
343,1,0,0
344,2,1,1
345,1,0,1
346,2,1,1
347,1,0,0
348,2,1,0
349,1,0,0
350,1,0,1
351,1,0,1
352,1,0,1
353,1,0,1
354,1,0,0
355,1,0,1
356,2,1,0
357,1,0,1
358,1,0,1
359,1,0,1
360,1,0,0
361,2,1,0
362,1,0,1
363,2,1,0
364,2,1,1
365,2,1,0
366,2,1,1
367,2,1,1
368,1,0,0
369,2,1,1
370,2,1,0
371,2,1,1
372,1,0,0
373,1,0,0
374,1,0,0
375,2,1,1
376,1,0,0
377,2,1,0
378,2,1,1
379,2,1,1
380,1,0,0
381,2,1,0
382,2,1,1
383,1,0,0
384,2,1,1
385,2,1,1
386,2,1,0
387,2,1,1
388,2,1,1
389,1,0,0
390,2,1,1
391,1,0,0
392,2,1,0
393,2,1,1
394,1,0,0
395,2,1,1
396,1,0,1
397,2,1,1
398,2,1,1
399,2,1,1
400,1,0,0
401,2,1,0
402,2,1,1
403,2,1,0
404,2,1,0
405,2,1,1
406,2,1,1
407,2,1,1
408,2,1,1
409,2,1,1
